Vacancy,Vacancy_Description,Industry,Company,Salary,Experience,Education,Location,Working_schedule,Working_conditions,Date
Инспектор кредитный,Главный кредитный менеджер малого и среднего бизнеса,"Банки, инвестиции, лизинг Кредитование","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОЛЛЕКТОРСКОЕ АГЕНТСТВО ЮЖНЫЙ КОРПУС""",от 45 000 тг.,Без опыта работы,техническое и профессиональное,г. ШЫМКЕНТ / Аль-Фарабийский район,полный рабочий день,нормальные,10/8/2020
Инспектор кредитный,Главный кредитный менеджер малого и среднего бизнеса,"Банки, инвестиции, лизинг Кредитование","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОЛЛЕКТОРСКОЕ АГЕНТСТВО ЮЖНЫЙ КОРПУС""",от 45 000 тг.,Без опыта работы,техническое и профессиональное,г. ШЫМКЕНТ / Аль-Фарабийский район,полный рабочий день,нормальные,10/8/2020
Кредитный менеджер,кредитный эксперт,"Банки, инвестиции, лизинг Кредитование","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""PROFESSIONAL COLLECTION GROUP"" КОЛЛЕКТОРЛЫҚ АГЕНТТІГІ""",от 60 000 тг.,Без опыта работы,техническое и профессиональное,г. НУР-СУЛТАН / район Есиль,полный рабочий день,нормальные,10/8/2020
Кредитный менеджер,кредитный эксперт,"Банки, инвестиции, лизинг Кредитование","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""PROFESSIONAL COLLECTION GROUP"" КОЛЛЕКТОРЛЫҚ АГЕНТТІГІ""",от 60 000 тг.,Без опыта работы,техническое и профессиональное,г. НУР-СУЛТАН / район Есиль,полный рабочий день,нормальные,10/8/2020
Врач анестезиолог и реаниматолог (взрослый),ВОП,"Медицина, фармацевтика Медицина, фармацевтика","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""РУДНЕНСКАЯ ГОРОДСКАЯ МНОГОПРОФИЛЬНАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА КОСТАНАЙСКОЙ ОБЛАСТИ",от 152 466 тг.,1 год стажа,высшее,З-КАЗАХСТАНСКАЯ ОБЛАСТЬ / г. Уральск,полный рабочий день,нормальные,10/5/2020
Аналитик,аналитик,"Консалтинг, стратегическое развитие Аналитика","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEDITEC""",от 80 000 тг.,1 год стажа,высшее,КОСТАНАЙСКАЯ ОБЛАСТЬ / г. Аркалык,полный рабочий день,нормальные,10/9/2020
Врач травматолог-ортопед (взрослый),врач неонатолог отделения новорожденных реанимации и интенсивной терапии,"Медицина, фармацевтика Медицина, фармацевтика","Коммунальное государственное предприятие ""Центральная районная больница Нуринского района"" управления здравоохранения Карагандинской области",от 100 000 тг.,Без опыта работы,высшее,"г. Нур-Султан, проспект Мәңгілік Ел, 8, 3 подъезд",полный рабочий день,нормальные,10/5/2020
Аналитик,Эксперт-аналитик,"Консалтинг, стратегическое развитие Аналитика","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ПРОЕКТНЫЙ ОФИС ""РУХАНИ ЖАҢҒЫРУ"" УПРАВЛЕНИЯ ОБЩЕСТВЕННОГО РАЗВИТИЯ ГОРОДА АЛМАТЫ",от 80 000 тг.,1 год стажа,высшее,г. АЛМАТЫ / Алмалинский район,полный рабочий день,нормальные,10/9/2020
Аналитик,Эксперт-аналитик,"Консалтинг, стратегическое развитие Аналитика","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ПРОЕКТНЫЙ ОФИС ""РУХАНИ ЖАҢҒЫРУ"" УПРАВЛЕНИЯ ОБЩЕСТВЕННОГО РАЗВИТИЯ ГОРОДА АЛМАТЫ",от 80 000 тг.,1 год стажа,высшее,г. АЛМАТЫ / Алмалинский район,полный рабочий день,нормальные,10/9/2020
Инспектор кредитный,КРЕДИТНЫЙ МЕНЕДЖЕР МСБ,"Банки, инвестиции, лизинг Кредитование","Филиал Дочернего банка акционерного общества ""Хоум Кредит энд Финанс Банк"" в городе Нур-Султан",от 45 000 тг.,Без опыта работы,техническое и профессиональное,ЖАМБЫЛСКАЯ ОБЛАСТЬ / Байзакский  район,полный рабочий день,нормальные,10/9/2020
Инспектор кредитный,КРЕДИТНЫЙ МЕНЕДЖЕР МСБ,"Банки, инвестиции, лизинг Кредитование","Филиал Дочернего банка акционерного общества ""Хоум Кредит энд Финанс Банк"" в городе Нур-Султан",от 45 000 тг.,Без опыта работы,техническое и профессиональное,ЖАМБЫЛСКАЯ ОБЛАСТЬ / Байзакский  район,полный рабочий день,нормальные,10/9/2020
Инспектор кредитный,КРЕДИТНЫЙ МЕНЕДЖЕР МСБ,"Банки, инвестиции, лизинг Кредитование","Филиал Дочернего банка акционерного общества ""Хоум Кредит энд Финанс Банк"" в городе Нур-Султан",от 45 000 тг.,Без опыта работы,техническое и профессиональное,ЖАМБЫЛСКАЯ ОБЛАСТЬ / Байзакский  район,полный рабочий день,нормальные,10/9/2020
Инспектор кредитный,КРЕДИТНЫЙ МЕНЕДЖЕР МСБ,"Банки, инвестиции, лизинг Кредитование","Филиал Дочернего банка акционерного общества ""Хоум Кредит энд Финанс Банк"" в городе Нур-Султан",от 45 000 тг.,Без опыта работы,техническое и профессиональное,ЖАМБЫЛСКАЯ ОБЛАСТЬ / Байзакский  район,полный рабочий день,нормальные,10/9/2020
Врач-гастроэнтеролог (эндоскопия по профилю основной специальности) (взрослый),Инженер радиолог,"Медицина, фармацевтика Медицина, фармацевтика","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""АТЫРАУСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №4"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АТЫРАУСКОЙ ОБЛАСТИ",от 112 000 тг.,Без опыта работы,высшее,г. НУР-СУЛТАН / район Есиль,полный рабочий день,нормальные,10/13/2020
Системный администратор,"инженер-программист, техник программист в больницу","IT, телекоммуникации, связь, электроника Системная интеграция","Коммунальное государственное предприятие ""Костанайская городская больница"" Управления здравоохранения акимата Костанайской области",от 80 000 тг.,1 год стажа,высшее,КАРАГАНДИНСКАЯ ОБЛАСТЬ / г. Караганда,полный рабочий день,нормальные,10/14/2020
Системный администратор,Эксперт Направления по управлению данными,"IT, телекоммуникации, связь, электроника Системная интеграция","Коммунальное государственное учреждение ""Центр для ресоциализации лиц, оказавшихся в трудной жизненной ситуации акимата города Жезказгана""",от 80 000 тг.,1 год стажа,послесреднее,КАРАГАНДИНСКАЯ ОБЛАСТЬ / г. Темиртау,полный рабочий день,нормальные,10/14/2020
Руководитель по информации для бизнеса,Программист,Топ-менеджмент Топ-менеджмент,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАДИАЦИОННАЯ И ПРОМЫШЛЕННАЯ БЕЗОПАСНОСТЬ""",от 110 000 тг.,Без опыта работы,общее среднее (с 1 по 11/12 классы),"г. Нур-Султан, проспект Мәңгілік Ел, 8, 3 подъезд",полный рабочий день,нормальные,10/16/2020
Системный администратор,ведущий менеджер по коммуникации,"IT, телекоммуникации, связь, электроника Системная интеграция","Акционерное общество ""Совместное Казахстанско-Российское предприятие ""Байтерек""",от 180 000 тг.,1 год стажа,высшее,КОСТАНАЙСКАЯ ОБЛАСТЬ / г. Костанай,полный рабочий день,нормальные,10/19/2020
Инспектор кредитный,Главный кредитный менеджер малого и среднего бизнеса,"Банки, инвестиции, лизинг Кредитование","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОЛЛЕКТОРСКОЕ АГЕНТСТВО ЮЖНЫЙ КОРПУС""",от 45 000 тг.,Без опыта работы,техническое и профессиональное,г. ШЫМКЕНТ / Аль-Фарабийский район,полный рабочий день,нормальные,10/8/2020
Аналитик по закупкам,Ведущий эксперт Направления стратегических рисков,"Логистика, таможня, склад Снабжение","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ШКОЛА КОСТЮБЕ ОТДЕЛА ОБРАЗОВАНИЯ АКИМАТА БАЙЗАКСКОГО РАЙОНА""",от 60 000 тг.,1 год стажа,высшее,г. НУР-СУЛТАН / район Есиль,полный рабочий день,нормальные,10/19/2020
Аналитик по закупкам,Оператор ЭВМ,"Логистика, таможня, склад Снабжение","ИП ""ЗВЁЗДНЫЙ ДОЖДЬ""",от 60 000 тг.,1 год стажа,высшее,г. АЛМАТЫ / Ауэзовский район,полный рабочий день,нормальные,10/19/2020
Аналитик по закупкам,Специалист по тендерам,"Логистика, таможня, склад Снабжение","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАДИАЦИОННАЯ И ПРОМЫШЛЕННАЯ БЕЗОПАСНОСТЬ""",от 60 000 тг.,1 год стажа,высшее,"г. НУР-СУЛТАН / район ""Байқоңыр""",полный рабочий день,нормальные,10/19/2020
"Главный специалист, Категория С-О-5",Ведущий менеджер Направления инжениринга бизнес-процессов,"Государственная служба, некоммерческие организации Государственная служба","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЛЮС АВД""",от 108 306 тг.,Без опыта работы,высшее,В-КАЗАХСТАНСКАЯ ОБЛАСТЬ / г. Семей,полный рабочий день,нормальные,10/21/2020
Аналитик по закупкам,Специалист по тендерам,"Логистика, таможня, склад Снабжение","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАДИАЦИОННАЯ И ПРОМЫШЛЕННАЯ БЕЗОПАСНОСТЬ""",от 60 000 тг.,1 год стажа,высшее,КАРАГАНДИНСКАЯ ОБЛАСТЬ / г. Жезказган,полный рабочий день,нормальные,10/19/2020
"Главный специалист, Категория С-О-5",Ассистент-Профессор ранг в области бизнес статистики со знанием английского языка,"Государственная служба, некоммерческие организации Государственная служба","АКЦИОНЕРНОЕ ОБЩЕСТВО ""FORTEBANK""",от 108 306 тг.,Без опыта работы,высшее,КАРАГАНДИНСКАЯ ОБЛАСТЬ / г. Караганда,полный рабочий день,нормальные,10/21/2020
"Главный специалист, Категория С-О-5",Диетолог,"Государственная служба, некоммерческие организации Государственная служба","Товарищество с ограниченной ответственностью ""CITYМЕD""",от 108 306 тг.,Без опыта работы,высшее,г. АЛМАТЫ / Бостандыкский район,полный рабочий день,нормальные,10/21/2020
"Главный специалист, Категория С-О-5",Ведущий менеджер Направления инжениринга бизнес-процессов,"Государственная служба, некоммерческие организации Государственная служба","Товарищество с ограниченной ответственностью ""Magnum Cash&Carry""",от 108 306 тг.,Без опыта работы,послесреднее,КАРАГАНДИНСКАЯ ОБЛАСТЬ / г. Караганда,полный рабочий день,нормальные,10/21/2020
"Главный специалист, Категория С-О-5",,"Государственная служба, некоммерческие организации Государственная служба",Ип Валерия,от 108 306 тг.,Без опыта работы,послесреднее,КОСТАНАЙСКАЯ ОБЛАСТЬ / г. Костанай,полный рабочий день,нормальные,10/21/2020
Воспитатель,Эксперт Направления взыскания проблемной задолженности физических лиц,"Образование, наука Образование, наука",ФИЛИАЛ «БАЛХАШ» РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО ПРЕДПРИЯТИЯ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ «РЕЗЕРВ» КОМИТЕТА ПО ГОСУДАРСТВЕННЫМ МАТЕРИАЛЬНЫМ РЕЗЕРВАМ МИНИСТЕРСТВА НАЦИОНАЛЬНОЙ ЭКОНОМИКИ РЕСПУБЛИКИ КАЗАХСТАН,от 56 000 тг.,Без опыта работы,общее среднее (с 1 по 11/12 классы),г. АЛМАТЫ / г. Алматы,полный рабочий день,нормальные,10/26/2020
Системный инженер,Инженер - технолог,"IT, телекоммуникации, связь, электроника Системная интеграция","Шымкент қаласының білім басқармасының ""Рысбек Мырзашев атындағы № 76 негізгі орта мектебі"" коммуналдық мемлекеттік мекемесі",от 50 000 тг.,Без опыта работы,техническое и профессиональное,г. НУР-СУЛТАН / г. Нур-Султан,полный рабочий день,нормальные,10/28/2020
Специалист по финансам,ВРАЧ-ЭНДОСКОПИСТ,"Экономика, финансы Планово-экономическое управление",ИП СОБОЛЕВСКАЯ МАРИНА СЕРГЕЕВНА,от 42 500 тг.,1 год стажа,высшее,ЖАМБЫЛСКАЯ ОБЛАСТЬ / Кордайский район,полный рабочий день,нормальные,11/3/2020
Специалист по финансам,ВРАЧ-ЭНДОСКОПИСТ,"Экономика, финансы Планово-экономическое управление",ИП СОБОЛЕВСКАЯ МАРИНА СЕРГЕЕВНА,от 42 500 тг.,1 год стажа,высшее,ЖАМБЫЛСКАЯ ОБЛАСТЬ / Кордайский район,полный рабочий день,нормальные,11/3/2020
Врач-неонатолог,врач травматолог ортопед травматологического пункта,"Медицина, фармацевтика Медицина, фармацевтика","Коммунальное государственное предприятие на праве хозяйственного ведения ""Центр ядерной медицины и онкологии города Семей"" управления здравоохранения Восточно-Казахстанской области",от 136 721 тг.,10 лет стажа,высшее,АКМОЛИНСКАЯ ОБЛАСТЬ / г. Кокшетау,полный рабочий день,нормальные,11/3/2020
Менеджер зала игровых автоматов,Старший эксперт Направления розничного бизнеса,"Игорный, модельный и шоу-бизнес Казино","Коммунальное государственное казенное предприятие ""Костанайский областной казахский театр драмы имени Ильяса Омарова"" Управления культуры акимата Костанайской области",от 85 000 тг.,Без опыта работы,высшее,ЖАМБЫЛСКАЯ ОБЛАСТЬ / г. Тараз,посменный,нормальные,11/3/2020
Кредитный менеджер,ведущий менеджер Отдела платежных карточек,"Банки, инвестиции, лизинг Кредитование","Филиал АО ""ForteBank"" в городе Алматы",от 102 000 тг.,Без опыта работы,послесреднее,г. АЛМАТЫ / Медеуский район,полный рабочий день,нормальные,11/3/2020
Кредитный менеджер,ведущий менеджер Отдела платежных карточек,"Банки, инвестиции, лизинг Кредитование","Филиал АО ""ForteBank"" в городе Алматы",от 102 000 тг.,Без опыта работы,послесреднее,г. АЛМАТЫ / Медеуский район,полный рабочий день,нормальные,11/3/2020
Финансовый аналитик,-,"Экономика, финансы Финансовый анализ","БАТЫС ҚАЗАҚСТАН ОБЛЫСЫ БӨРЛІ АУДАНЫ ӘКІМДІГІНІҢ БІЛІМ БЕРУ БӨЛІМІНІҢ БӨРЛІ АУЫЛЫНЫҢ ""АҚ СҰҢҚАР"" БӨБЕКЖАЙЫ"" МЕМЛЕКЕТТІК КОММУНАЛДЫҚ ҚАЗЫНАЛЫҚ КӘСІПОРЫНЫ",от 250 000 тг.,3 года стажа,высшее,г. НУР-СУЛТАН / район Есиль,полный рабочий день,нормальные,11/4/2020
Финансовый аналитик,Ведущий эксперт Направления стратегических рисков,"Экономика, финансы Финансовый анализ","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ШКОЛА КОСТЮБЕ ОТДЕЛА ОБРАЗОВАНИЯ АКИМАТА БАЙЗАКСКОГО РАЙОНА""",от 250 000 тг.,3 года стажа,высшее,КАРАГАНДИНСКАЯ ОБЛАСТЬ / г. Шахтинск,полный рабочий день,нормальные,11/4/2020
Финансовый аналитик,-,"Экономика, финансы Финансовый анализ","БАТЫС ҚАЗАҚСТАН ОБЛЫСЫ БӨРЛІ АУДАНЫ ӘКІМДІГІНІҢ БІЛІМ БЕРУ БӨЛІМІНІҢ БӨРЛІ АУЫЛЫНЫҢ ""АҚ СҰҢҚАР"" БӨБЕКЖАЙЫ"" МЕМЛЕКЕТТІК КОММУНАЛДЫҚ ҚАЗЫНАЛЫҚ КӘСІПОРЫНЫ",от 250 000 тг.,3 года стажа,высшее,г. НУР-СУЛТАН / район Есиль,полный рабочий день,нормальные,11/4/2020
Истопник,-,"Промышленность, производство Промышленность, производство","АКЦИОНЕРНОЕ ОБЩЕСТВО ""FORTEBANK""",от 50 000 тг.,Без опыта работы,высшее,КАРАГАНДИНСКАЯ ОБЛАСТЬ / г. Караганда,полный рабочий день,нормальные,11/4/2020
Истопник,-,"Промышленность, производство Промышленность, производство","АКЦИОНЕРНОЕ ОБЩЕСТВО ""FORTEBANK""",от 50 000 тг.,Без опыта работы,высшее,КАРАГАНДИНСКАЯ ОБЛАСТЬ / г. Караганда,полный рабочий день,нормальные,11/4/2020
Системный администратор информационно-коммуникационных систем,Системный администратор,"IT, телекоммуникации, связь, электроника Сетевые технологии","Товарищество с ограниченной ответственностью ""КОНТАКТ""",от 250 000 тг.,3 года стажа,высшее,"г. НУР-СУЛТАН / район ""Байқоңыр""",полный рабочий день,нормальные,11/5/2020
Системный администратор информационно-коммуникационных систем,Системный администратор,"IT, телекоммуникации, связь, электроника Сетевые технологии","Товарищество с ограниченной ответственностью ""КОНТАКТ""",от 250 000 тг.,3 года стажа,высшее,"г. НУР-СУЛТАН / район ""Байқоңыр""",полный рабочий день,нормальные,11/5/2020
Руководитель по риск-менеджменту,Менеджер контрольно-ревизионного отдела,Топ-менеджмент Топ-менеджмент,"Товарищество с ограниченной ответственностью ""Учет Демеу""",от 100 000 тг.,3 года стажа,высшее,АКМОЛИНСКАЯ ОБЛАСТЬ / г. Степногорск,полный рабочий день,нормальные,11/5/2020
Финансовый риск-менеджер,Менеджер управляющий в прочих отраслях,Страхование Финансовые риски,"Акционерное общество ""Костанайские минералы""",от 300 000 тг.,5 лет стажа,высшее,г. НУР-СУЛТАН / г. Нур-Султан,полный рабочий день,нормальные,11/5/2020
Финансовый риск-менеджер,Менеджер управляющий в прочих отраслях,Страхование Финансовые риски,"Акционерное общество ""Костанайские минералы""",от 300 000 тг.,5 лет стажа,высшее,г. НУР-СУЛТАН / г. Нур-Султан,полный рабочий день,нормальные,11/5/2020
Фармацевт (провизор),Врач общей практики,"Медицина, фармацевтика Провизорство","Товарищество с ограниченной ответственностью ""Детский сад ""Хадиша-АНА 2016""",от 60 000 тг.,1 год стажа,высшее,"г. Нур-Султан, проспект Мәңгілік Ел, 8, 3 подъезд",полный рабочий день,нормальные,11/5/2020
Фармацевт (провизор),,"Медицина, фармацевтика Провизорство","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА № 13"" УПРАВЛЕНИЯ ОБЩЕСТВЕННОГО ЗДОРОВЬЯ ГОРОДА АЛМАТЫ""",от 60 000 тг.,1 год стажа,высшее,ЖАМБЫЛСКАЯ ОБЛАСТЬ / г. Тараз,полный рабочий день,нормальные,11/5/2020
Фармацевт (провизор),,"Медицина, фармацевтика Провизорство","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА № 13"" УПРАВЛЕНИЯ ОБЩЕСТВЕННОГО ЗДОРОВЬЯ ГОРОДА АЛМАТЫ""",от 60 000 тг.,1 год стажа,высшее,ЖАМБЫЛСКАЯ ОБЛАСТЬ / г. Тараз,полный рабочий день,нормальные,11/5/2020
Фармацевт (провизор),Экономист по финансовой работе,"Медицина, фармацевтика Провизорство","Коммунальное государственное учреждение ""Центр ресоциализации лиц, оказавшихся в трудной жизненной ситуации"" акимата города Усть-Каменогорска",от 60 000 тг.,1 год стажа,послесреднее,г. АЛМАТЫ / Медеуский район,полный рабочий день,нормальные,11/5/2020
Фармацевт (провизор),Инженер информационных технологий,"Медицина, фармацевтика Провизорство","Государственное учреждение ""Средняя школа имени Ораза Саргунанова""",от 60 000 тг.,1 год стажа,техническое и профессиональное,г. НУР-СУЛТАН / район Есиль,полный рабочий день,нормальные,11/5/2020
Врач общей практики,-,"Медицина, фармацевтика Медицина, фармацевтика","АКЦИОНЕРНОЕ ОБЩЕСТВО ""FORTEBANK""",от 80 000 тг.,3 года стажа,высшее,г. НУР-СУЛТАН / район Есиль,полный рабочий день,нормальные,11/5/2020
Врач общей практики,-,"Медицина, фармацевтика Медицина, фармацевтика","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНСТИТУТ ТОПЛИВА, КАТАЛИЗА И ЭЛЕКТРОХИМИИ ИМ. Д.В. СОКОЛЬСКОГО""",от 80 000 тг.,3 года стажа,высшее,"г. Нур-Султан, проспект Мәңгілік Ел, 8, 3 подъезд",полный рабочий день,нормальные,11/5/2020
Врач общей практики,,"Медицина, фармацевтика Медицина, фармацевтика","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""BIOTEKNISTIK"" (БИОТЕКНИСТИК)",от 80 000 тг.,3 года стажа,высшее,МАНГИСТАУСКАЯ ОБЛАСТЬ / г. Актау,полный рабочий день,нормальные,11/5/2020
